,MX,MY,Significance (sigma)
0,3500.0,600.0,0.0
1,3500.0,900.0,0.0
2,3500.0,1200.0,0.6701833780448132
3,3500.0,1600.0,0.40785527897560786
4,3500.0,2200.0,0.0
5,3500.0,2800.0,0.0
6,3000.0,400.0,0.0
7,3000.0,600.0,0.0
8,3000.0,900.0,0.0
9,3000.0,1600.0,0.600874767360697
10,3000.0,2200.0,0.0
11,3000.0,2600.0,0.0
12,2800.0,350.0,0.0
13,2800.0,600.0,0.0
14,2800.0,1000.0,0.0
15,2800.0,1400.0,0.16941171066067198
16,2800.0,2200.0,0.25132386245956495
17,1800.0,1200.0,0.0
18,4000.0,300.0,0.0
19,4000.0,500.0,0.0
20,4000.0,700.0,0.0
21,4000.0,900.0,0.0
22,4000.0,1100.0,0.6237618502764016
23,4000.0,1300.0,0.6632156106756991
24,4000.0,1600.0,0.40927484860281826
25,4000.0,2000.0,0.0
26,4000.0,2400.0,0.0
27,4000.0,2600.0,0.0
28,3500.0,300.0,0.0
29,3500.0,400.0,0.0
30,3500.0,500.0,0.0
31,3500.0,800.0,0.7087421655423918
32,3500.0,1100.0,0.6427892600079873
33,3500.0,1400.0,0.7526922934515258
34,3500.0,2000.0,0.0
35,3500.0,2500.0,0.0
36,3000.0,300.0,0.0
37,3000.0,450.0,0.0
38,3000.0,700.0,0.0
39,3000.0,1000.0,0.19206209066037194
40,3000.0,1300.0,0.5964168376761896
41,3000.0,1800.0,0.4966990206301036
42,3000.0,2400.0,0.0
43,3000.0,2800.0,0.0
44,2800.0,400.0,0.0
45,2800.0,700.0,0.0
46,2800.0,1100.0,0.0
47,2800.0,1600.0,1.1760059817998296
48,2800.0,2400.0,0.17988299966783078
49,4000.0,350.0,0.0
50,4000.0,450.0,0.0
51,4000.0,600.0,0.0
52,4000.0,800.0,0.6930111697626639
53,4000.0,1000.0,0.21898186893923927
54,4000.0,1200.0,0.6533452028968397
55,4000.0,1400.0,0.7314466717643455
56,4000.0,1800.0,0.30680868578070036
57,4000.0,2200.0,0.0
58,4000.0,2500.0,0.0
59,4000.0,2800.0,0.0
60,3500.0,350.0,0.0
61,3500.0,450.0,0.0
62,3500.0,700.0,0.0
63,3500.0,1300.0,0.6801228382062459
64,3500.0,1800.0,0.3003546942287746
65,3500.0,2400.0,0.0
66,3500.0,2600.0,0.0
67,3000.0,800.0,0.5864658668832232
68,3000.0,1100.0,0.551180861743342
69,3000.0,2000.0,0.0
70,3000.0,2500.0,0.0
71,2800.0,450.0,0.0
72,2800.0,800.0,0.0
73,2800.0,1200.0,0.0
74,2800.0,1800.0,1.0021290333703674
75,2800.0,500.0,0.0
76,2800.0,900.0,0.0
77,2800.0,1300.0,0.0
78,2800.0,2000.0,0.42597429398801884
79,2800.0,2500.0,0.0
80,2800.0,2600.0,0.0
81,2600.0,300.0,0.0
82,2600.0,350.0,0.0
83,2600.0,400.0,0.0
84,2600.0,450.0,0.0
85,2600.0,500.0,0.0
86,2600.0,600.0,0.0
87,2600.0,700.0,0.0
88,2600.0,800.0,0.0
89,2600.0,900.0,0.0
90,2600.0,1000.0,0.0
91,2600.0,1100.0,0.0
92,2600.0,1200.0,0.0
93,2600.0,1300.0,0.0
94,2600.0,1400.0,0.14341899582044498
95,2600.0,1600.0,1.1370380316979398
96,2600.0,1800.0,1.1869086143413676
97,2600.0,2000.0,0.7261476423722911
98,2600.0,2200.0,0.49588477902953454
99,2600.0,2400.0,0.0
100,2500.0,300.0,0.0
101,2500.0,350.0,0.0
102,2500.0,400.0,0.0
103,2500.0,450.0,0.0
104,2500.0,500.0,0.0
105,2500.0,600.0,0.0
106,2500.0,700.0,0.0
107,2500.0,800.0,0.0
108,2500.0,900.0,0.0
109,2500.0,1000.0,0.0
110,2500.0,1100.0,0.0
111,2500.0,1200.0,0.0
112,2500.0,1300.0,0.0
113,2500.0,1400.0,0.15145112578078868
114,2500.0,1800.0,1.2090287403077362
115,2500.0,2000.0,0.7332893261929706
116,2500.0,2200.0,0.05949473565202794
117,2400.0,300.0,0.0
118,2400.0,350.0,0.0
119,2400.0,400.0,0.0
120,2400.0,450.0,0.0
121,2400.0,500.0,0.0
122,2400.0,600.0,0.0
123,2400.0,700.0,0.0
124,2400.0,900.0,0.0
125,2400.0,1000.0,0.0
126,2400.0,1100.0,0.0
127,2400.0,1200.0,0.0
128,2400.0,1300.0,0.0
129,2400.0,1400.0,0.16338443458012447
130,2400.0,1600.0,1.1476969376549284
131,2400.0,1800.0,1.2154314995319764
132,2400.0,2000.0,0.7226862191345157
133,2400.0,2200.0,0.0
134,2200.0,300.0,0.0
135,2200.0,350.0,0.0
136,2200.0,400.0,0.0
137,2200.0,450.0,0.0
138,2200.0,500.0,0.0
139,2200.0,700.0,0.0
140,2200.0,800.0,0.0
141,2200.0,900.0,0.0
142,2200.0,1000.0,0.0
143,2200.0,1100.0,0.0
144,2200.0,1200.0,0.0
145,2200.0,1300.0,0.0
146,2200.0,1400.0,0.19501656117151098
147,2200.0,1600.0,1.1303113756091303
148,2200.0,1800.0,1.1482255741741303
149,2200.0,2000.0,0.0
150,2000.0,300.0,0.0
151,2000.0,350.0,0.0
152,2000.0,400.0,0.0
153,2000.0,450.0,0.0
154,2000.0,500.0,0.0
155,2000.0,600.0,0.0
156,2000.0,700.0,0.0
157,2000.0,800.0,0.0
158,2000.0,900.0,0.0
159,2000.0,1000.0,0.0
160,2000.0,1100.0,0.0
161,2000.0,1200.0,0.0
162,2000.0,1300.0,0.0
163,2000.0,1600.0,0.09616941044853779
164,2000.0,1800.0,0.0
165,1800.0,300.0,0.0
166,1800.0,350.0,0.0
167,1800.0,400.0,0.0
168,1800.0,450.0,0.0
169,1800.0,500.0,0.0
170,1800.0,600.0,0.0
171,1800.0,700.0,0.0
172,1800.0,800.0,0.0
173,1800.0,900.0,0.5688061240792123
174,1800.0,1000.0,0.0
175,1800.0,1100.0,0.0
176,1800.0,1300.0,0.0
177,1800.0,1400.0,0.0
178,1800.0,1600.0,0.0
179,1600.0,300.0,0.0
180,1600.0,350.0,0.0
181,1600.0,400.0,0.0
182,1600.0,450.0,0.004135679843439302
183,1600.0,500.0,0.0
184,1600.0,600.0,0.0
185,1600.0,700.0,0.0
186,1600.0,800.0,0.0
187,1600.0,900.0,0.7615356516722108
188,1600.0,1000.0,0.2378288603798915
189,1600.0,1100.0,0.03244772816909222
190,1600.0,1200.0,0.0
191,1600.0,1300.0,0.0
192,1600.0,1400.0,0.0
193,1400.0,350.0,0.37399011671599064
194,1400.0,400.0,0.0
195,1400.0,450.0,0.0
196,1400.0,500.0,0.004957940670685602
197,1400.0,600.0,0.0033237093967600512
198,1400.0,700.0,0.2795691486541954
199,1400.0,800.0,0.2371513744196998
200,1400.0,900.0,0.8186913554325591
201,1400.0,1000.0,0.8179901509094564
202,1400.0,1100.0,0.7201723118306487
203,1400.0,1200.0,0.0
204,1000.0,800.0,0.0
205,900.0,600.0,0.0
206,800.0,300.0,0.0
207,800.0,400.0,1.3058023526027378
208,1200.0,300.0,0.97155669618615
209,1200.0,350.0,0.994062384630659
210,1200.0,400.0,0.0
211,1200.0,450.0,0.0
212,1200.0,500.0,0.0
213,1200.0,600.0,0.7494179096161668
214,1200.0,700.0,1.330876223328256
215,1200.0,800.0,0.3361461680428211
216,1200.0,900.0,2.0764274355924446
217,1200.0,1000.0,0.0
218,1000.0,300.0,0.0
219,1000.0,350.0,0.0
220,1000.0,400.0,0.0
221,1000.0,450.0,0.2725679080211085
222,1000.0,500.0,1.4258856923489407
223,1000.0,600.0,1.7129462046683854
224,1000.0,700.0,0.0
225,900.0,300.0,0.0
226,900.0,400.0,0.0
227,900.0,500.0,1.8193911376279328
228,900.0,700.0,0.0
229,800.0,500.0,0.9819731945110467
230,800.0,600.0,0.0
